Tip_label	f
Apterostigma_dentigerum	0.18
Apterostigma_dorotheae	0.18
Apterostigma_manni	0.18
Apterostigma_megacephala	0.18
Apterostigma_pilosum	0.18
Apterostigma_steigeri	0.18
Atta_bisphaerica	0.25
Atta_cephalotes	0.25
Atta_colombica	0.25
Atta_laevigata	0.25
Atta_mexicana	0.25
Atta_robusta	0.25
Atta_texana	0.25
Basiceros_manni	0.12
Blepharidatta_brasiliensis	0.5
Blepharidatta_conops	0.5
Cephalotes_adolphi	0.49
Cephalotes_alfaroi	0.49
Cephalotes_atratus	0.49
Cephalotes_auricomus	0.49
Cephalotes_basalis	0.49
Cephalotes_betoi	0.49
Cephalotes_biguttatus	0.49
Cephalotes_bohlsi	0.49
Cephalotes_borgmeieri	0.49
Cephalotes_bruchi	0.49
Cephalotes_christopherseni	0.49
Cephalotes_clypeatus	0.49
Cephalotes_cordatus	0.49
Cephalotes_cordiae	0.49
Cephalotes_cordiventris	0.49
Cephalotes_crenaticeps	0.49
Cephalotes_cristatus	0.49
Cephalotes_depressus	0.49
Cephalotes_eduarduli	0.49
Cephalotes_goniodontus	0.49
Cephalotes_grandinosus	0.49
Cephalotes_guayaki	0.49
Cephalotes_hirsutus	0.49
Cephalotes_jheringi	0.49
Cephalotes_kukulcan	0.49
Cephalotes_laminatus	0.49
Cephalotes_liogaster	0.49
Cephalotes_maculatus	0.49
Cephalotes_marginatus	0.49
Cephalotes_minutus	0.49
Cephalotes_mompox	0.49
Cephalotes_multispinosus	0.49
Cephalotes_opacus	0.49
Cephalotes_pallens	0.49
Cephalotes_pallidoides	0.49
Cephalotes_pallidus	0.49
Cephalotes_patellaris	0.49
Cephalotes_pellans	0.49
Cephalotes_persimilis	0.49
Cephalotes_persimplex	0.49
Cephalotes_peruviensis	0.49
Cephalotes_pilosus	0.49
Cephalotes_placidus	0.49
Cephalotes_porrasi	0.49
Cephalotes_pusillus	0.49
Cephalotes_ramiphilus	0.49
Cephalotes_rohweri	0.49
Cephalotes_scutulatus	0.49
Cephalotes_serraticeps	0.49
Cephalotes_setulifer	0.49
Cephalotes_simillimus	0.49
Cephalotes_spinosus	0.49
Cephalotes_targionii	0.49
Cephalotes_texanus	0.49
Cephalotes_trichophorus	0.49
Cephalotes_umbraculatus	0.49
Cephalotes_unimaculatus	0.49
Cephalotes_varians	0.49
Colobostruma_unicorna	0.06
Cyatta_abscondita	1
Cyphomyrmex_cornutus	0.08
Cyphomyrmex_minutus	0.08
Cyphomyrmex_rimosus	0.08
Daceton_armigerum	0.5
Diaphoromyrma_sofiae	1
Epopostruma_monstrosa	0.05
Eurhopalothrix_australis	0.07
Eurhopalothrix_bolaui	0.07
Eurhopalothrix_gravis	0.07
Kalathomyrmex_emeryi	1
Lachnomyrmex_scrobiculatus	0.06
Lenomyrmex_colwelli	0.17
Mesostruma_browni	0.11
Microdaceton_tibialis	0.25
Mycetagroicus_triangularis	0.25
Mycetarotes_acutus	0.25
Mycetophylax_conformis	1
Mycetophylax_morschi	1
Mycetophylax_simplex	1
Mycetosoritis_hartmanni	0.2
Mycocepurus_goeldii	0.17
Myrmicocrypta_buenzlii	0.15
Myrmicocrypta_ednaella	0.15
Myrmicocrypta_infuscata	0.15
Myrmicocrypta_urichi	0.15
Ochetomyrmex_neopolitus	1
Ochetomyrmex_semipolitus	1
Octostruma_iheringi	0.06
Octostruma_wheeleri	0.06
Orectognathus_versicolor	0.03
Phalacromyrmex_fugax	1
Pheidole_acantha	0.09
Pheidole_allarmata	0.09
Pheidole_amazonica	0.09
Pheidole_anastasii	0.09
Pheidole_angusticeps	0.09
Pheidole_annemariae	0.09
Pheidole_antipodum	0.09
Pheidole_bessonii	0.09
Pheidole_bicarinata	0.09
Pheidole_bilimeki	0.09
Pheidole_boruca	0.09
Pheidole_browni	0.09
Pheidole_clydei	0.09
Pheidole_cryptocera	0.09
Pheidole_dasypyx	0.09
Pheidole_dea	0.09
Pheidole_dentata	0.09
Pheidole_dispar	0.09
Pheidole_dugasi	0.09
Pheidole_exarata	0.09
Pheidole_fallax	0.09
Pheidole_fervens	0.09
Pheidole_fimbriata	0.09
Pheidole_fissiceps	0.09
Pheidole_glomericeps	0.09
Pheidole_grallatrix	0.09
