generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2240000,40,-0.544827,-6927,37.1355,0.449857
2245000,44,-6.1814,-6914.47,57.5752,0.449
2250000,41,-11.8924,-6925.22,36.4613,0.426
2255000,41,0.917349,-6923.02,37.1235,0.42175
2260000,37,4.63065,-6927.71,47.7348,0.458
2265000,40,-7.22932,-6934.05,41.7893,0.447
2270000,41,-2.62435,-6934.81,39.5494,0.417
2275000,38,-3.97989,-6928.75,36.7128,0.39425
2280000,36,0.172568,-6933.15,27.7398,0.39525
2285000,36,2.71709,-6929.6,25.2317,0.3925
2290000,34,1.93754,-6945.91,28.9171,0.430769
2295000,35,6.34115,-6945.73,48.1442,0.46
2300000,37,-10.7527,-6959.54,43.7422,0.366
2305000,33,-6.63301,-6957.15,28.828,0.4054
2310000,39,3.95492,-6959.64,39.8133,0.4225
2315000,36,6.60505,-6952.8,47.6699,0.448
2320000,42,-4.80108,-6951.88,57.9898,0.47
2325000,37,-2.72822,-6937.64,36.5049,0.4335
2330000,37,6.19823,-6943.73,33.1888,0.425333
2335000,41,2.45956,-6930.82,45.9331,0.47
2340000,37,4.25374,-6931.09,37.1248,0.4365
2345000,40,1.46876,-6962.05,48.4636,0.42
2350000,39,-10.8337,-6948.41,43.1634,0.429
2355000,36,-2.68581,-6961.64,28.8838,0.421
2360000,38,15.073,-6957.91,30.1828,0.491
2365000,38,3.13067,-6958.64,34.1431,0.467
2370000,39,0.340652,-6958.63,40.292,0.419
2375000,38,0.0152882,-6953.31,38.2014,0.429333
2380000,30,1.46263,-6962.43,42.0194,0.412
2385000,32,-1.50675,-6956.1,41.8303,0.41675
2390000,35,0.645958,-6953.52,32.7343,0.4485
2395000,38,-4.08861,-6930.75,33.1928,0.412455
2400000,31,0.69907,-6973.84,31.5897,0.414
2405000,30,7.74663,-6947.98,28.3191,0.426455
2410000,37,-7.80017,-6943.29,32.0468,0.41
2415000,38,-5.10737,-6931.34,34.2681,0.408
2420000,36,3.92449,-6967.76,29.3201,0.399
2425000,36,7.03647,-6947.83,33.9306,0.432
2430000,35,0.661521,-6969.6,37.8313,0.448714
2435000,36,0.583757,-6959.98,36.0339,0.443
2440000,44,7.83925,-6941.9,42.1694,0.451
2445000,44,1.56651,-6949.91,34.8252,0.46
2450000,42,10.25,-6934.13,50.615,0.47
2455000,38,5.82544,-6947.64,46.0633,0.468
2460000,50,3.18596,-6947.68,42.4197,0.4735
2465000,43,-3.20387,-6944.27,46.4372,0.4624
2470000,30,-1.4551,-6949.35,33.3408,0.432
2475000,34,11.4247,-6952.26,30.6787,0.444
2480000,41,5.69093,-6924.69,39.476,0.447
2485000,33,0.910211,-6956.1,32.7245,0.386
2490000,35,8.78323,-6950.71,34.0045,0.406
2495000,39,2.04754,-6955.91,37.9687,0.430083
2500000,35,3.89012,-6940.83,31.6102,0.441
2505000,32,1.03375,-6971.74,30.4376,0.424909
2510000,36,-4.33729,-6970.11,44.9705,0.41725
2515000,36,4.01533,-6964.69,31.0215,0.441
2520000,34,7.45207,-6964.87,33.3456,0.443364
2525000,30,4.47948,-6967.54,29.8306,0.407
2530000,31,-2.43092,-6948.79,40.6667,0.418727
2535000,34,1.95133,-6966.39,36.6545,0.423
2540000,36,2.20035,-6950.46,31.2256,0.418
2545000,38,4.8506,-6955.6,43.6934,0.452667
2550000,32,-2.65661,-6950.76,34.7496,0.406
2555000,40,10.5824,-6949.05,39.9139,0.429
2560000,37,8.71702,-6944.77,27.5807,0.4472
2565000,33,10.1613,-6967.56,31.7829,0.4445
2570000,37,-0.06723,-6939.15,33.5176,0.427333
2575000,32,7.37803,-6959.77,22.6804,0.44
2580000,42,6.23397,-6940.51,49.3294,0.418
2585000,41,10.0675,-6938.37,36.9882,0.411
2590000,33,4.51044,-6955.31,35.2079,0.454
2595000,29,2.10015,-6969.12,24.7798,0.388
2600000,31,2.56476,-6957.4,29.1021,0.455
2605000,34,-2.72109,-6951.86,38.5432,0.41125
2610000,32,2.93994,-6945.03,35.1155,0.401
2615000,37,2.67406,-6943.31,38.3775,0.439
2620000,36,7.68603,-6936.15,44.0016,0.401
2625000,37,1.28309,-6941.93,50.2454,0.4255
2630000,47,7.83461,-6947.12,49.7193,0.475
